client_id,code,name,chi_name,phone_no,address,chi_address
3,TPN,Tin Ping Estate,天平邨,26721260 ,Shops 108 & 120 on Ground Floor Tin Ping Shopping Centre Tin Ping Estate Sheung Shui New Territories,香港新界上水天平邨天平商場地下108及120號舖
3,LOC,Locwood Court,新北江商場,24096166 ,Shop Nos.3&4 on 1/F The Mall of Commercial Development Locwood Court Kingswood Villas No. 1 Tin Wu Road Tin Shui Wai,天水圍新北江商場1樓3及４號舖
3,KSD,Kingswood Ginza,嘉湖銀座,21239901 ,Shop No.139 1/F Phase 1 Fortune Kingswood No. 12-18 Tin Yan Road Tin Shui Wai New Territories,新界天水圍天恩路第12號及18號置富嘉湖一期一樓139號舖
3,CFU,Chung Fu ,頌富,22531765 ,Shop No. 19 Chung Fu Shopping Centre Tin Shui Wai New Territories,新界天水圍頌富商場19號舖
3,TYE,Tin Yiu Estate,天耀,24470053,Shop Nos. L033 and L034 Ground Floor Tin Yiu Shopping Centre Tin Shui Wai New Territories,新界天水圍天耀村天耀商場地下L033-L034號舖
3,TCK,Tin Chak ,天水圍天澤商場,24863612 ,Shop No. 105 Tin Chak Shopping Centre Tin Chak Estate Tin Shui Wai New Territories ,新界天水圍天澤商場105號舖
3,MOS,Ma On Shan,馬鞍山,26338730 ,Shop 222-225 Level 2 Ma On Shan Plaza No. 608 Sai Sha Road Ma On Shan New Territories,新界馬鞍山西沙路608號馬鞍山廣場第二層222-225號
3,SUC,Sunshine City,新港城中心,26303346 ,Shop Nos. 2192-95 Level 2 Sunshine City Plaza Ma On Shan Shatin Town Lot 307 New Territories,新界馬鞍山沙田地段307新港城中心二樓2192-95號舖
3,COE,Chung On ,頌安,39042956 ,Shop 4A 4B & 19 G/F Chung On Shopping Centre Ma On Shan New Territories,新界沙田馬鞍山頌安商場地下4A4B及19號舖

